# build=c162833edc6059a2e5122e3a8e8dfb0a46a3e9f3 driver=Tries/response-curve-matrix/model/harness/drive.py cell=D-L scale=coarse date=2026-09-07 k=1.000000e-02 rate=None path=static
# push driver: sp-loadcontrol — the fork's own idiom (`Ladruno_files/testbed/hypo_bearing/bearing_backbone.py`, `sanisand_tau0_band.py`): `loadConst -time uz0` at the S4 settlement datum, a `Linear` series, `sp <platen node> 3 1.0`, and `integrator LoadControl -ds` a step on the SP platen.  PSEUDO-TIME IS THE SETTLEMENT, so `ops_Dt` is d(s) — positive, monotone, and smaller under subdivision rather than turned round — which is the clock ADR 92 D2's default `-implexDt pseudo` is correct on, and which leaves the D2 sign-change guard live as a limit-point detector.
# `time` on this curve is PSEUDO-TIME AND PSEUDO-TIME IS THE SETTLEMENT: it is a metre, it starts at the S4 datum uz0 and it walks down by ds a step, so s_m = uz0 - time exactly.  It is NOT a load factor and NOT a second.  `Q_check_kN` is the summed PLATEN reaction, not `getTime()`; `Q_kN` is the base-reaction difference and is unchanged in meaning from every other leg
# integrator: newton   ladder=strict   element=LadrunoBrick   rungs=Newton:25:x1.0|NewtonLineSearch:40:x1.0   `relaxed` is the index of the rung that carried the step
# tangent: TanType 2 -- 2 = mCep_Consistent, the CONSISTENT (algorithmic) tangent -- unsymmetric under non-associated flow, which is why `system Pardiso` at its default unsymmetric mtype 11 is the declared solver
# test: NormUnbalance declared 1e-05, absolute 5.997400e-02 -- RELATIVE to the model's own weight: 1e-05 x W_ref = 5.997400e-02 kN, with W_ref = 5997.4000 kN (gamma' * V on the ndf-3 twin + surcharge 700.0000 kN).  The same relative number is the same physical requirement on every mesh of the refinement sequence, which is the whole reason it is declared this way (ADR 90 section 1.2.2)
# stress update: IMPLICIT (no `-implex`).  Every global iteration re-runs the substepped return-mapping integrator at the trial strain; there is no extrapolation and no `implex_err_max` column
# residual pressure: -Presidual 1.01 kPa on EVERY `LadrunoSANISAND` tag of this leg -- THE VANILLA TWIN: 1.01 kPa is vanilla `ManzariDafalias`'s own hardcoded 1.0e-2 * P_atm (ManzariDafalias.cpp:836), measured bit-identical to vanilla over 400 rows at G1, so this is vanilla's soil reached through the class that carries `-implex`.  -Pmin 0.0101 kPa
# subdivision budget: 80 failed attempts, CUMULATIVE over the whole push and never repaid on a success; ds halves on each and regrows to ds_max after 6 successes, ds_min 6.25e-06 m
# ladder strict: the sheet's KrylovNewton rung at TEN TIMES the declared tolerance is DROPPED, so no state on this curve was committed at a tolerance the leg did not declare.  `relaxed` can only be 0 or 1 here; on a full-ladder curve it can be 2
# element: the DRAINED ndf-3 `LadrunoBrick` TWIN — the same mesh, the same material and the same footing with the pressure DOF REMOVED and the buoyant unit weight applied directly as -b 0 0 -9.81 (a FORCE PER UNIT VOLUME).  `p_min_kPa` is NaN on every row BY CONSTRUCTION; the cavitation detector and the far-field pore-pressure gate are SKIPPED with a reason, and the base-reaction gate is recomputed at gamma'*V
# ring point: element tag 4047 at centroid (+1.250, +0.250, -0.250) m, Gauss point 5 of 8 at (+1.1057, +0.1057, -0.1057) m.  top element row (max centroid z), first centroid outboard of the measured footprint x_max, smallest y; Gauss point nearest small x, small y, large z.  S8g: the band is one element wide in the row that owns the free surface and its peak sits at the first element wholly outside the loaded region
# ring_clamp_fired = implexDetail[3], the p_min clamp inside the EXTRAPOLATED update on this step at that one point; ring_clamp_count = implexDetail[4], the same clamp's cumulative count; ring_ref_* = the four implexRefusals slots (total, D2 pseudo-time sign change, past -implexControl, companion hit -maxSubsteps).  THE LEDGER IS PROCESS-WIDE and the clamp census is ONE POINT: a rise in the ledger on a step where this clamp fired is evidence about this point, and a rise on a step where it did not is evidence that the refusal was somewhere else
step,time,s_m,s_over_B,Q_kN,k_norm,k_norm_firststep,Q_check_kN,Rz_base_kN,p_min_kPa,ds_m,relaxed,cum_iter,wall_s,ring_clamp_fired,ring_clamp_count,ring_ref_total,ring_ref_sign_change,ring_ref_control,ring_ref_companion
1,-0.00106019404,5e-05,3.33333333e-05,6.51139265,nan,nan,6.51139265,6003.91139,nan,5e-05,0,4,1.96462345,0,0,0,0,0,0
2,-0.00111019404,0.0001,6.66666667e-05,11.5391302,nan,nan,11.5391302,6008.93913,nan,5e-05,0,10,4.80034351,0,0,0,0,0,0
3,-0.00116019404,0.00015,0.0001,16.1173067,nan,nan,16.1173067,6013.51731,nan,5e-05,0,16,8.21128535,0,0,0,0,0,0
4,-0.00121019404,0.0002,0.000133333333,20.5282819,nan,nan,20.5282819,6017.92828,nan,5e-05,0,22,12.258095,0,0,0,0,0,0
5,-0.00126019404,0.00025,0.000166666667,24.8060425,nan,nan,24.8060425,6022.20604,nan,5e-05,0,29,16.1866925,0,0,0,0,0,0
6,-0.00131019404,0.0003,0.0002,28.9841745,nan,nan,28.9841745,6026.38417,nan,5e-05,0,36,20.1993186,0,0,0,0,0,0
7,-0.00141019404,0.0004,0.000266666667,37.0697194,nan,nan,37.0644115,6034.46972,nan,0.0001,0,46,28.570147,0,0,0,0,0,0
8,-0.00151019404,0.0005,0.000333333333,44.9231696,1.57169363,0.90971576,44.9167793,6042.32317,nan,0.0001,0,57,36.9389255,0,0,0,0,0,0
9,-0.00161019404,0.0006,0.0004,52.6027497,1.54117314,0.89205012,52.5974619,6050.00275,nan,0.0001,0,69,47.1211855,0,0,0,0,0,0
10,-0.00171019404,0.0007,0.000466666667,60.1525306,1.51669813,0.877883682,60.1461671,6057.55253,nan,0.0001,0,81,57.0235236,0,0,0,0,0,0
11,-0.00181019404,0.0008,0.000533333333,67.5912416,1.49633076,0.866094797,67.5865709,6064.99124,nan,0.0001,0,94,67.7827687,0,0,0,0,0,0
12,-0.00191019404,0.0009,0.0006,74.9433905,1.47895636,0.85603828,74.9397749,6072.34339,nan,0.0001,0,108,79.8352523,0,0,0,0,0,0
13,-0.00211019404,0.0011,0.000733333333,89.3925432,1.45565782,0.842552796,89.3904529,6086.79254,nan,0.0002,0,127,102.967956,0,0,0,0,0,0
14,-0.00231019404,0.0013,0.000866666667,103.645786,1.43316465,0.82953347,103.644115,6101.04579,nan,0.0002,0,148,129.189599,0,0,0,0,0,0
15,-0.00251019404,0.0015,0.001,117.758506,1.41377113,0.818308257,117.756828,6115.15851,nan,0.0002,0,170,157.183026,0,0,0,0,0,0
16,-0.00271019404,0.0017,0.00113333333,131.766386,1.39756932,0.80893045,131.764814,6129.16639,nan,0.0002,0,193,186.4972,0,0,0,0,0,0
17,-0.00291019404,0.0019,0.00126666667,145.69669,1.3840614,0.801111897,145.695193,6143.09669,nan,0.0002,0,217,217.740256,0,0,0,0,0,0
18,-0.00311019404,0.0021,0.0014,159.570396,1.37271381,0.794543774,159.56873,6156.9704,nan,0.0002,0,242,250.096443,0,0,0,0,0,0
19,-0.00351019404,0.0025,0.00166666667,187.04076,1.35892956,0.786565278,187.113087,6184.44076,nan,0.0004,1,284,346.490109,0,0,0,0,0,0
